0;Água é a bebida mais saudável para o corpo.
1;O café é uma bebida que estimula o sistema nervoso.
2;Chá verde é uma bebida que ajuda a perder peso.
3;O suco de laranja é uma bebida cítrica.
4;O leite é uma bebida que fornece cálcio para o corpo.
5;O álcool é uma bebida que pode causar dependência.
6;O refrigerante é uma bebida que contém muito açúcar.
7;A cerveja artesanal é uma bebida que está ficando cada vez mais popular.
8;A cerveja é uma bebida que pode ser consumida em diversos tipos de copos.
9;A cerveja preta é uma bebida que contém maltodextrina.
10;A cerveja com gás é uma bebida que contém dióxido de carbono.
11;A cerveja light é uma bebida que contém menos calorias.
12;O vinho branco é uma bebida feita com uvas brancas.
13;O vinho tinto é uma bebida feita com uvas vermelhas.
14;O espumante é uma bebida que contém gás carbônico.
15;O champanhe é uma bebida que contém gás carbônico e é servida em taças especiais.
16;A sidra é uma bebida que é feita a partir de maçãs.
17;A vodka é uma bebida que pode ser feita a partir de diversos tipos de cereais.
18;A whisky é uma bebida que é feita a partir de cevada e fumaça de madeira.
19;O conhaque é uma bebida que é feita a partir de uvas.
20;A tequila é uma bebida que é feita a partir de agave.
21;O rum é uma bebida que é feita a partir de cana-de-açúcar.
22;O gin é uma bebida que é feita a partir de trigo e junípero.
23;A bourbon é uma bebida que é feita a partir de milho.
24;O café expresso é uma bebida que é feita a partir de café moído e água.
25;O café latte é uma bebida que é feita a partir de café expresso e leite.
26;O café mocha é uma bebida que é feita a partir de café expresso, chocolate e leite.
27;O chá preto é uma bebida que é feita a partir de folhas de Camellia sinensis.
28;O chá verde é uma bebida que é feita a partir de folhas de Camellia sinensis que não foram oxidadas.
29;O chá branco é uma bebida que é feita a partir de folhas de Camellia sinensis que foram oxidadas.
30;O mate é uma bebida que é feita a partir de erva-mate.
31;O suco de frutas é uma bebida que é feita a partir de frutas frescas ou congeladas.
32;O suco de vegetais é uma bebida que é feita a partir de vegetais frescos ou congelados.
33;O leite de soja é uma bebida que é feita a partir de grãos de soja.
34;O leite de amêndoa é uma bebida que é feita a partir de amêndoas.
35;O leite de coco é uma bebida que é feita a partir de coco.
36;O água de coco é uma bebida que é feita a partir da água do coco.
37;O água mineral é uma bebida que é feita a partir da água da terra.
38;O refrigerante de cola é uma bebida que é feita a partir de água, açúcar, gás carbônico e aromatizantes.
39;O refrigerante de laranja é uma bebida que é feita a partir de água, açúcar, gás carbônico e aromatizantes.
40;O refrigerante de limão é uma bebida que é feita a partir de água, açúcar, gás carbônico e aromatizantes.
